,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"Eggs - White only, raw, 3 large",51,1  6,0  3,11  91,1,0,Your Daily Goal,2000,225  45,56  25,150  30,99,38,2021-01-01
1,"Eggs - Whole, raw, 3 medium",194,1  2,13  63,17  35,1,0,Your Daily Goal,2000,225  45,56  25,150  30,99,38,2021-01-01
2,"Apples - Raw, with skin, 250 g",130,35  96,0  3,1  1,26,6,Your Daily Goal,2000,225  45,56  25,150  30,99,38,2021-01-01
3,"The Cheese Emporium - Mature Lighter Cheese, 30 g",96,1  3,7  63,8  34,1,1,Your Daily Goal,2000,225  45,56  25,150  30,99,38,2021-01-01
4,"Hovis - 50/50 Bread, 3 slice",273,48  75,2  6,12  19,4,6,Your Daily Goal,2000,225  45,56  25,150  30,99,38,2021-01-01
5,"slow cooked chicken, 150 serving(s)",120,5  16,1  9,21  75,3,1,Your Daily Goal,2000,225  45,56  25,150  30,99,38,2021-01-01
6,"Oil, 14 g",120,0  0,14  100,0  0,0,0,Your Daily Goal,2000,225  45,56  25,150  30,99,38,2021-01-01
7,"Batchelors - Cup A Soup With Croutons - Cream of Asparagus, 1 cup",127,19  60,5  37,1  3,3,1,Your Daily Goal,2000,225  45,56  25,150  30,99,38,2021-01-01
8,"Ryvita - Thins - Sweet Chilli, 4 Thin (8g)",116,21  72,2  16,4  12,3,2,Your Daily Goal,2000,225  45,56  25,150  30,99,38,2021-01-01
9,"Galaxy Cookie - Cookie, 46 g",210,30  57,9  37,3  6,22,1,Your Daily Goal,2000,225  45,56  25,150  30,99,38,2021-01-01
10,"indi grand - Garlic & Coriander Naan Bread, 80 gram",204,38  76,3  12,6  12,0,2,Your Daily Goal,2000,225  45,56  25,150  30,99,38,2021-01-01
11,"Costco - Chicken Thigh Skinless Boneless, 380 gram",436,0  0,15  32,74  68,0,0,Your Daily Goal,2000,225  45,56  25,150  30,99,38,2021-01-01
12,"Breyers - Creamy chocolate, 1 container (264,00 gram)",309,48  55,8  22,20  23,22,0,Your Daily Goal,2000,225  45,56  25,150  30,99,38,2021-01-01
,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_food,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,date
0,"KQF - Piri Piri Chicken Sausages, 150 gram",239,5  9,17  61,18  30,0,0,Your Daily Goal,2000,225  45,56  25,150  30,99,38,2021-01-02
1,"Apples - Raw, with skin, 250 g",130,35  96,0  3,1  1,26,6,Your Daily Goal,2000,225  45,56  25,150  30,99,38,2021-01-02
2,"Kroger - Rice Cake, 2 cake",80,16  79,1  11,2  10,0,0,Your Daily Goal,2000,225  45,56  25,150  30,99,38,2021-01-02
