#Version:5
#Units:kg

#date;weight;weight trend;body fat;body fat trend;comment
2019-03-21 06:04:00;83.9;83.9;;;
2019-03-22 06:04:00;83.7;83.873375;;;
2019-03-23 11:30:00;83.2;83.76516;;;
2019-03-24 11:43:00;82.9;83.649025;;;
2019-03-26 05:30:00;83.3;83.572174;;;
2019-03-29 06:35:00;83.2;83.44089;;;
2019-03-30 07:54:00;81.8;83.21134;;;
2019-03-31 11:30:00;82.6;83.12182;;;
2019-04-01 06:44:00;82.7;83.07619;;;
2019-04-03 18:16:00;83.8;83.29216;;;
2019-04-05 17:16:00;82.1;83.00123;;;
2019-04-07 11:00:00;82.4;82.86898;;;
2019-04-08 06:04:00;82.9;82.87231;;;
2019-04-09 06:00:00;83.3;82.92909;;;
2019-04-10 06:05:00;82.6;82.88514;;;
2019-04-13 15:19:00;81.6;82.39242;;;
2019-04-15 05:48:00;81.9;82.29161;;;
2019-04-16 06:08:00;81.8;82.22532;;;
2019-04-17 07:28:00;81.4;82.109795;;;
2019-04-18 06:21:00;81.9;82.08308;;;
2019-04-20 17:54:00;80.9;81.72999;;;Sick
2019-04-21 12:04:00;81.0;81.65517;;;
2019-04-22 10:30:00;80.8;81.54827;;;
2019-04-23 13:00:00;81.0;81.46826;;;
2019-04-24 06:40:00;81.4;81.46145;;;
2019-04-27 13:21:00;80.8;81.21409;;;
2019-04-28 12:33:00;80.5;81.12198;;;
2019-04-29 11:00:00;80.3;81.01916;;;
2019-04-30 07:11:00;80.6;80.97171;;;
2019-05-01 06:36:00;80.7;80.936356;;;
2019-05-02 06:36:00;80.5;80.878265;;;
2019-05-05 11:27:00;80.0;80.555855;;;
2019-05-11 14:03:00;79.4;79.88298;;;
2019-06-04 14:51:00;79.2;79.222046;;;
2019-06-06 14:09:00;78.9;79.14302;;;
2019-06-09 14:36:00;79.2;79.16298;;;
2019-06-11 07:53:00;79.4;79.21462;;;
2019-06-16 13:17:00;77.8;78.47061;;;
2019-06-21 06:39:00;78.3;78.38689;;;
2019-06-23 14:08:00;77.4;78.109314;;;
2019-06-26 06:34:00;77.0;77.75594;;;
2019-06-30 10:49:00;77.5;77.64092;;;
2019-07-02 06:33:00;77.2;77.53986;;;
2019-07-04 06:55:00;76.8;77.35478;;;
2019-07-05 09:52:00;76.4;77.21327;;;
2019-07-06 12:20:00;76.8;77.15304;;;
2019-07-08 12:41:00;76.8;77.06475;;;
2019-07-09 07:56:00;76.3;76.98196;;;
2019-07-11 06:21:00;76.2;76.79318;;;
2019-07-13 12:50:00;76.0;76.573494;;;
2019-07-14 13:23:00;75.8;76.46833;;;
2019-07-15 06:44:00;76.4;76.461624;;;
2019-07-16 07:49:00;76.8;76.50855;;;
2019-07-17 07:48:00;76.3;76.480804;;;
2019-07-18 06:58:00;76.4;76.4704;;;
2019-07-19 16:00:00;75.9;76.36858;;;
2019-07-20 00:27:00;75.6;76.33088;;;
2019-07-21 11:35:00;75.7;76.21183;;;
2019-07-22 07:56:00;75.8;76.16485;;;
2019-07-24 06:45:00;75.8;76.07611;;;
2019-07-26 06:45:00;76.3;76.13175;;;
2019-07-30 05:20:00;75.9;76.03198;;;
2019-08-01 06:30:00;76.0;76.023865;;;
2019-08-02 06:47:00;76.0;76.02065;;;
2019-08-03 13:20:00;74.5;75.767815;;;
2019-08-04 12:59:00;75.5;75.73264;;;
2019-08-05 06:48:00;75.1;75.66898;;;
2019-08-06 06:30:00;75.3;75.62044;;;
2019-08-07 06:31:00;75.4;75.59107;;;
2019-08-08 06:45:00;75.0;75.51167;;;
2019-08-09 06:30:00;74.5;75.3783;;;
2019-08-10 12:34:00;73.9;75.136055;;;
2019-08-11 07:53:00;75.5;75.17558;;;Refeed yesterday
2019-08-12 10:12:00;75.5;75.22262;;;
2019-08-13 06:54:00;74.5;75.13885;;;
2019-08-14 06:24:00;74.6;75.068504;;;
2019-08-15 18:41:00;74.1;74.88038;;;Late weigh in
2019-08-16 06:49:00;74.6;74.86084;;;
2019-08-17 11:50:00;73.5;74.64497;;;
2019-08-18 11:30:00;74.1;74.573364;;;
2019-08-19 06:39:00;74.5;74.56546;;;
2019-08-20 06:30:00;74.4;74.543564;;;
2019-08-21 06:22:00;73.8;74.44509;;;
2019-08-22 06:30:00;74.0;74.38554;;;
2019-08-23 06:30:00;73.6;74.28096;;;
2019-08-24 12:30:00;72.9;74.05512;;;
2019-08-25 12:54:00;73.5;73.98008;;;
2019-08-26 08:34:00;73.8;73.96019;;;
2019-08-27 06:33:00;73.3;73.87922;;;
2019-08-28 07:02:00;74.3;73.93628;;;
2019-08-29 07:15:00;74.2;73.97168;;;
2019-08-30 06:55:00;74.1;73.98854;;;
2019-08-31 13:53:00;73.0;73.822136;;;
2019-09-01 07:22:00;73.1;73.75076;;;
