Date,Exercise,Category,Weight (kgs),Reps,Distance,Distance Unit,Time,Comment
2015-10-19,Deadlift,Back,105.0,5,,,,""
2015-10-19,Cable Face Pull,Shoulders,25.0,14,,,,""
2015-10-19,Cable Face Pull,Shoulders,25.0,14,,,,""
2015-10-19,Cable Face Pull,Shoulders,25.0,14,,,,""
2015-10-19,Lat Pulldown,Back,41.0,7,,,,""
2015-10-19,Lat Pulldown,Back,41.0,9,,,,""
2015-10-19,Lat Pulldown,Back,41.0,9,,,,""
2015-10-19,Seated Cable Row,Back,32.0,10,,,,""
2015-10-19,Seated Cable Row,Back,32.0,10,,,,""
2015-10-19,Seated Cable Row,Back,32.0,10,,,,""
2015-10-19,Hammer Cable Curl,Biceps,32.0,7,,,,""
2015-10-19,Hammer Cable Curl,Biceps,28.0,12,,,,""
2015-10-19,Hammer Cable Curl,Biceps,28.0,12,,,,""
2015-10-19,Dumbbell Preacher Curl,Biceps,7.5,7,,,,""
2015-10-19,Dumbbell Preacher Curl,Biceps,7.5,7,,,,""
2015-10-19,Dumbbell Preacher Curl,Biceps,7.5,7,,,,""
2015-10-19,Lat Pulldown,Back,0.0,0,,,,""
2015-10-19,Seated Cable Row,Back,0.0,0,,,,""
2015-10-19,Hammer Cable Curl,Biceps,0.0,0,,,,""
2015-10-19,Dumbbell Preacher Curl,Biceps,0.0,0,,,,""
2015-10-20,Flat Barbell Bench Press,Chest,42.5,4,,,,""
2015-10-20,Flat Barbell Bench Press,Chest,42.5,3,,,,""
2015-10-20,Flat Barbell Bench Press,Chest,42.5,3,,,,""
2015-10-20,Overhead Press,Shoulders,25.0,5,,,,""
2015-10-20,Overhead Press,Shoulders,27.5,4,,,,""
2015-10-20,Overhead Press,Shoulders,25.0,4,,,,""
2015-10-20,Overhead Press,Shoulders,25.0,5,,,,""
2015-10-20,Incline Dumbbell Bench Press,Chest,12.5,10,,,,""
2015-10-20,Incline Dumbbell Bench Press,Chest,12.5,9,,,,""
2015-10-20,Incline Dumbbell Bench Press,Chest,12.5,9,,,,""
2015-10-20,Lateral Machine Raise,Shoulders,20.0,12,,,,""
2015-10-20,Lateral Machine Raise,Shoulders,20.0,12,,,,""
2015-10-20,Lateral Machine Raise,Shoulders,20.0,12,,,,""
2015-10-20,Parallel Bar Triceps Dip,Triceps,23.0,9,,,,""
2015-10-20,Cable Overhead Triceps Extension,Triceps,27.0,14,,,,""
2015-10-20,V-Bar Push Down,Triceps,36.0,9,,,,""
2015-10-20,Parallel Bar Triceps Dip,Triceps,23.0,9,,,,""
2015-10-20,Parallel Bar Triceps Dip,Triceps,23.0,9,,,,""
2015-10-20,V-Bar Push Down,Triceps,36.0,9,,,,""
2015-10-20,V-Bar Push Down,Triceps,36.0,8,,,,""
2015-10-20,Cable Overhead Triceps Extension,Triceps,27.0,14,,,,""
2015-10-20,Cable Overhead Triceps Extension,Triceps,32.0,7,,,,""
2015-10-21,Barbell Squat,Legs,100.0,5,,,,""
2015-10-21,Barbell Squat,Legs,100.0,4,,,,""
2015-10-21,Barbell Squat,Legs,100.0,5,,,,""
2015-10-21,Stiff-Legged Deadlift,Legs,55.0,10,,,,""
2015-10-21,Leg Press,Legs,105.0,10,,,,""
2015-10-21,Standing Calf Raise Machine,Legs,105.0,13,,,,""
2015-10-21,Lying Leg Curl Machine,Legs,20.0,8,,,,""
2015-10-21,Leg Extension Machine,Legs,38.0,12,,,,""
2015-10-21,Stiff-Legged Deadlift,Legs,55.0,8,,,,""
2015-10-21,Stiff-Legged Deadlift,Legs,55.0,8,,,,""
2015-10-21,Leg Press,Legs,105.0,10,,,,""
2015-10-21,Standing Calf Raise Machine,Legs,105.0,13,,,,""
2015-10-21,Leg Press,Legs,105.0,10,,,,""
2015-10-21,Standing Calf Raise Machine,Legs,105.0,12,,,,""
2015-10-21,Lying Leg Curl Machine,Legs,20.0,8,,,,""
2015-10-21,Lying Leg Curl Machine,Legs,20.0,8,,,,""
2015-10-21,Leg Extension Machine,Legs,38.0,13,,,,""
