,food,calories_kcal,carbs_g,fat_g,protein_g,sugar_g,fiber_g,goal_calories_kcal,goal_carbs_g,goal_fat_g,goal_protein_g,goal_sugar_g,goal_fiber_g,qty,date
0,Hovis - 50/50 Bread,182,32,1,8,3,4,1800,180,50,158,99,38,Hovis - 50/50 Bread,2022-11-27
1,Options - Hot Chocolate,44,9,1,0,7,0,1800,180,50,158,99,38,Options - Hot Chocolate,2022-11-27
2,chicken thigh cooked,294,0,10,48,0,0,1800,180,50,158,99,38,chicken thigh cooked,2022-11-27
3,Options - Hot Chocolate,44,9,1,0,7,0,1800,180,50,158,99,38,Options - Hot Chocolate,2022-11-27
4,Hovis - 50/50 Bread,91,16,1,4,1,2,1800,180,50,158,99,38,Hovis - 50/50 Bread,2022-11-27
5,Oil,240,0,28,0,0,0,1800,180,50,158,99,38,Oil,2022-11-27
6,chicken thigh cooked,173,0,6,28,0,0,1800,180,50,158,99,38,chicken thigh cooked,2022-11-27
7,chicken thigh cooked,294,0,10,48,0,0,1800,180,50,158,99,38,chicken thigh cooked,2022-11-27
8,Banana - Bananas,89,20,0,1,12,3,1800,180,50,158,99,38,Banana - Bananas,2022-11-27
9,Usda - Cherries - Usda - Cherries,157,41,0,3,32,5,1800,180,50,158,99,38,Usda - Cherries - Usda - Cherries,2022-11-27
10,Cofresh - Balti Mix,432,50,22,12,2,6,1800,180,50,158,99,38,Cofresh - Balti Mix,2022-11-27
0,Hovis - 50/50 Bread,182,32,1,8,3,4,1800,180,50,158,99,38,Hovis - 50/50 Bread,2022-11-28
1,Options - Hot Chocolate,44,9,1,0,7,0,1800,180,50,158,99,38,Options - Hot Chocolate,2022-11-28
2,Cofresh - Balti Mix,144,17,7,4,1,2,1800,180,50,158,99,38,Cofresh - Balti Mix,2022-11-28
3,chicken thigh cooked,380,0,13,62,0,0,1800,180,50,158,99,38,chicken thigh cooked,2022-11-28
4,Options - Hot Chocolate,44,9,1,0,7,0,1800,180,50,158,99,38,Options - Hot Chocolate,2022-11-28
5,Brunch bar - Cereal Bar,150,23,5,2,15,0,1800,180,50,158,99,38,Brunch bar - Cereal Bar,2022-11-28
6,Hovis - 50/50 Bread,182,32,1,8,3,4,1800,180,50,158,99,38,Hovis - 50/50 Bread,2022-11-28
7,Options - Hot Chocolate,44,9,1,0,7,0,1800,180,50,158,99,38,Options - Hot Chocolate,2022-11-28
8,chicken thigh cooked,294,0,10,48,0,0,1800,180,50,158,99,38,chicken thigh cooked,2022-11-28
0,Flora Light - New,84,1,9,0,0,0,1800,180,50,158,99,38,Flora Light - New,2022-11-29
1,Hovis - 50/50 Bread,182,32,1,8,3,4,1800,180,50,158,99,38,Hovis - 50/50 Bread,2022-11-29
2,Options - Hot Chocolate,44,9,1,0,7,0,1800,180,50,158,99,38,Options - Hot Chocolate,2022-11-29
3,Flora Light - New,84,1,9,0,0,0,1800,180,50,158,99,38,Flora Light - New,2022-11-29
4,Hovis - 50/50 Bread,182,32,1,8,3,4,1800,180,50,158,99,38,Hovis - 50/50 Bread,2022-11-29
5,chicken thigh cooked,294,0,10,48,0,0,1800,180,50,158,99,38,chicken thigh cooked,2022-11-29
6,Options - Hot Chocolate,44,9,1,0,7,0,1800,180,50,158,99,38,Options - Hot Chocolate,2022-11-29
7,Eggs - Whole raw,129,1,9,11,1,0,1800,180,50,158,99,38,Eggs - Whole raw,2022-11-29
8,Options - Hot Chocolate,44,9,1,0,7,0,1800,180,50,158,99,38,Options - Hot Chocolate,2022-11-29
9,Hovis - 50/50 Bread,91,16,1,4,1,2,1800,180,50,158,99,38,Hovis - 50/50 Bread,2022-11-29
10,Brunch bar - Cereal Bar,150,23,5,2,15,0,1800,180,50,158,99,38,Brunch bar - Cereal Bar,2022-11-29
11,chicken thigh cooked,294,0,10,48,0,0,1800,180,50,158,99,38,chicken thigh cooked,2022-11-29
12,Apples - Raw with skin,208,55,1,1,42,10,1800,180,50,158,99,38,Apples - Raw with skin,2022-11-29
0,Hovis - 50/50 Bread,182,32,1,8,3,4,1800,180,50,158,99,38,Hovis - 50/50 Bread,2022-11-30
1,Options - Hot Chocolate,44,9,1,0,7,0,1800,180,50,158,99,38,Options - Hot Chocolate,2022-11-30
2,Blueberries,86,22,0,1,15,4,1800,180,50,158,99,38,Blueberries,2022-11-30
3,Options - Hot Chocolate,44,9,1,0,7,0,1800,180,50,158,99,38,Options - Hot Chocolate,2022-11-30
4,Eggs - Whole raw,129,1,9,11,1,0,1800,180,50,158,99,38,Eggs - Whole raw,2022-11-30
5,Hovis - 50/50 Bread,91,16,1,4,1,2,1800,180,50,158,99,38,Hovis - 50/50 Bread,2022-11-30
6,Options - Hot Chocolate,44,9,1,0,7,0,1800,180,50,158,99,38,Options - Hot Chocolate,2022-11-30
7,The Cheese Emporium - Mature Lighter Cheese,96,1,7,8,1,1,1800,180,50,158,99,38,The Cheese Emporium - Mature Lighter Cheese,2022-11-30
8,Hovis - 50/50 Bread,182,32,1,8,3,4,1800,180,50,158,99,38,Hovis - 50/50 Bread,2022-11-30
9,Brunch bar - Cereal Bar,150,23,5,2,15,0,1800,180,50,158,99,38,Brunch bar - Cereal Bar,2022-11-30
10,Cofresh - Chilli and lime corn crackers,157,17,9,2,1,0,1800,180,50,158,99,38,Cofresh - Chilli and lime corn crackers,2022-11-30
11,chicken thigh cooked,519,0,18,84,0,0,1800,180,50,158,99,38,chicken thigh cooked,2022-11-30
0,The Cheese Emporium - Mature Lighter Cheese,96,1,7,8,1,1,1800,180,50,158,99,38,The Cheese Emporium - Mature Lighter Cheese,2022-12-01
1,Hovis - 50/50 Bread,182,32,1,8,3,4,1800,180,50,158,99,38,Hovis - 50/50 Bread,2022-12-01
2,Options - Hot Chocolate,44,9,1,0,7,0,1800,180,50,158,99,38,Options - Hot Chocolate,2022-12-01
3,Eggs - Whole raw,194,1,13,17,1,0,1800,180,50,158,99,38,Eggs - Whole raw,2022-12-01
4,Hovis - 50/50 Bread,182,32,1,8,3,4,1800,180,50,158,99,38,Hovis - 50/50 Bread,2022-12-01
5,Options - Hot Chocolate,44,9,1,0,7,0,1800,180,50,158,99,38,Options - Hot Chocolate,2022-12-01
6,Brunch bar - Cereal Bar,300,46,11,4,30,0,1800,180,50,158,99,38,Brunch bar - Cereal Bar,2022-12-01
7,Apples - Raw with skin,104,28,0,1,21,5,1800,180,50,158,99,38,Apples - Raw with skin,2022-12-01
8,chicken thigh cooked,519,0,18,84,0,0,1800,180,50,158,99,38,chicken thigh cooked,2022-12-01
9,Brunch bar - Cereal Bar,300,46,11,4,30,0,1800,180,50,158,99,38,Brunch bar - Cereal Bar,2022-12-01
0,Brunch bar - Cereal Bar,300,46,11,4,30,0,1800,180,50,158,99,38,Brunch bar - Cereal Bar,2022-12-02
1,Options - Hot Chocolate,44,9,1,0,7,0,1800,180,50,158,99,38,Options - Hot Chocolate,2022-12-02
2,chicken thigh cooked,294,0,10,48,0,0,1800,180,50,158,99,38,chicken thigh cooked,2022-12-02
3,Options - Hot Chocolate,44,9,1,0,7,0,1800,180,50,158,99,38,Options - Hot Chocolate,2022-12-02
4,Apples - Raw with skin,104,28,0,1,21,5,1800,180,50,158,99,38,Apples - Raw with skin,2022-12-02
5,Kellogs - Rice Krispies Square - Chocolate,156,27,5,2,13,1,1800,180,50,158,99,38,Kellogs - Rice Krispies Square - Chocolate,2022-12-02
6,chicken thigh cooked,432,0,15,70,0,0,1800,180,50,158,99,38,chicken thigh cooked,2022-12-02
7,Options - Hot Chocolate,44,9,1,0,7,0,1800,180,50,158,99,38,Options - Hot Chocolate,2022-12-02
8,Cofresh - Balti Mix,384,45,19,10,2,6,1800,180,50,158,99,38,Cofresh - Balti Mix,2022-12-02
0,Kellogs - Rice Krispies Square - Chocolate,312,54,9,3,26,1,1800,180,50,158,99,38,Kellogs - Rice Krispies Square - Chocolate,2022-12-03
1,Options - Hot Chocolate,44,9,1,0,7,0,1800,180,50,158,99,38,Options - Hot Chocolate,2022-12-03
2,Hovis - 50/50 Bread,182,32,1,8,3,4,1800,180,50,158,99,38,Hovis - 50/50 Bread,2022-12-03
3,chicken thigh cooked,346,0,12,56,0,0,1800,180,50,158,99,38,chicken thigh cooked,2022-12-03
4,Options - Hot Chocolate,44,9,1,0,7,0,1800,180,50,158,99,38,Options - Hot Chocolate,2022-12-03
5,Oil,120,0,14,0,0,0,1800,180,50,158,99,38,Oil,2022-12-03
6,Blueberries,86,22,0,1,15,4,1800,180,50,158,99,38,Blueberries,2022-12-03
7,Options - Hot Chocolate,44,9,1,0,7,0,1800,180,50,158,99,38,Options - Hot Chocolate,2022-12-03
8,Apples - Raw with skin,104,28,0,1,21,5,1800,180,50,158,99,38,Apples - Raw with skin,2022-12-03
